"FECHA DE ATENCIÓN","SERVICIO DE ATENCIÓN","N° DE RECETAS","N° PRESCRIPCIONES","Controlados (Receta Blanca)","Controlados (Receta verde)","TIPO DE ATENCIÓN","ÁREA"
"6-05-2024","Mater","10","41","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","Pediatria","10","58","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","UPC UTI (4-12)","14","69","2","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","Medicina","37","194","7","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","Mater","2","3","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"6-05-2024","Pabellón","5","21","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"6-05-2024","Medicina","9","21","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"6-05-2024","Urgencia","231","394","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"7-05-2024","Pediatria","0","0","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"7-05-2024","Mater","2","5","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"7-05-2024","Dental","4","8","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"7-05-2024","UPC UTI (4-12)","4","5","4","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"7-05-2024","Recuperación","3","10","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"7-05-2024","Alta","4","8","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"7-05-2024","Medicina","6","7","5","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"7-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","11","13","2","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"7-05-2024","Urgencia","9","16","16","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
"7-05-2024","Med. General Policlínico Crónicos (+ de 1 mes)","14","29","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"7-05-2024","Pabellón","6","35","50","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"7-05-2024","Med. Especialidad Morbilidad (1 mes o menos)","44","60","9","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"7-05-2024","Controlados","97","97","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"7-05-2024","Med. Especialidad crónico (+ de 1 mes)","213","758","9","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"7-05-2024","C. Paliativos","0","0","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Recuperación","2","4","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Endoscopía","4","5","5","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Controlados","14","14","0","","ATENCIÓN ABIERTA","Farmacia de Atención Cerrada"
"7-05-2024","Pabellón","5","23","5","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Alta","10","35","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Mater","15","49","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Pediatria","10","59","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","UPC UTI (4-12)","10","70","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Medicina","37","207","3","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"7-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","1","1","0","","ATENCIÓN ABIERTA","Farmacia de Urgencia"
"7-05-2024","Pediatria","1","4","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"7-05-2024","Med. Especialidad Morbilidad (1 mes o menos)","2","3","0","","ATENCIÓN ABIERTA","Farmacia de Urgencia"
"7-05-2024","Pabellón","1","8","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"7-05-2024","Mater","4","13","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"7-05-2024","Recuperación","4","13","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
